Term,Freq,Total,Category,logprob,loglift,relevance
confer,3.753603777826407,4.594456912802854,Topic1,-5.5708,2.4541,2.4541
six,2.8247175565628333,3.665570691539281,Topic1,-5.8551,2.3956,2.3956
complaint,4.682369259552106,6.368829798968523,Topic1,-5.3497,2.3486,2.3486
staying,1.8960652394610353,2.7369183744374834,Topic1,-6.2538,2.2892,2.2892
detected,1.8944594724701647,2.736736351396399,Topic1,-6.2546,2.2884,2.2884
criminal,3.7536046959977973,5.509056920443529,Topic1,-5.5708,2.2725,2.2725
late,4.682369259552106,7.335910357434882,Topic1,-5.3497,2.2072,2.2072
evident,2.8248403619863365,4.533539543379987,Topic1,-5.8551,2.1832,2.1832
legally,2.824837837015012,4.533540539028338,Topic1,-5.8551,2.1832,2.1832
maintain,2.8248403619863365,4.562631140735583,Topic1,-5.8551,2.1768,2.1768
acted,2.8248403619863365,4.586531670301543,Topic1,-5.8551,2.1715,2.1715
lack_conformity,6.539893336718074,10.992715383073293,Topic1,-5.0156,2.1369,2.1369
lack,7.468654916215363,12.802371414947393,Topic1,-4.8828,2.1173,2.1173
included,9.322992938655682,16.35587040702464,Topic1,-4.661,2.0941,2.0941
exhaustive,1.8959672246650805,3.5997200456076097,Topic1,-6.2538,2.0151,2.0151
appointed,1.8960670758038165,3.631263305974039,Topic1,-6.2538,2.0064,2.0064
apparent,3.7535519011428335,7.204574339513517,Topic1,-5.5708,2.0042,2.0042
arises,1.8960673053466643,3.6478002744004954,Topic1,-6.2538,2.0019,2.0019
omitted,1.8959672246650805,3.6477012009746423,Topic1,-6.2538,2.0018,2.0018
appearing,1.896029889862494,3.651062767647334,Topic1,-6.2538,2.0009,2.0009
amortisation,1.8960666167181213,3.6515126854259914,Topic1,-6.2538,2.0008,2.0008
interim,4.682368341380715,9.041229917100507,Topic1,-5.3497,1.9982,1.9982
disposal,2.8248399029006412,5.490918128132686,Topic1,-5.8551,1.9916,1.9916
base,3.7536058437120357,7.298747378246712,Topic1,-5.5708,1.9912,1.9912
amendment,8.39741465936987,16.39508824104894,Topic1,-4.7656,1.9871,1.9871
withdrawal,7.415834352452484,15.487444109177332,Topic1,-4.8899,1.9198,1.9198
long,5.611132216306481,11.722652985087887,Topic1,-5.1688,1.9194,1.9194
extension,5.611129002706614,11.75265552836878,Topic1,-5.1688,1.9169,1.9169
degree,3.753604236912102,8.073405656042315,Topic1,-5.5708,1.8903,1.8903
replace,2.824839214272098,6.290906995197245,Topic1,-5.8551,1.8555,1.8555
listed,3.75277811220334,9.016193249226845,Topic1,-5.571,1.7797,1.7797
need,10.25457514066513,24.80137969732237,Topic1,-4.5658,1.773,1.773
nutrition_health,4.363410750087396,10.890586329422094,Topic1,-5.4203,1.7416,1.7416
agreed,4.682367423209325,11.744459639975098,Topic1,-5.3497,1.7366,1.7366
nutrition,4.363410750087396,11.747460312064357,Topic1,-5.4203,1.6658,1.6658
contained,6.539892877632379,18.10813539188705,Topic1,-5.0156,1.6378,1.6378
extent,4.682368800466411,14.22979639042926,Topic1,-5.3497,1.5447,1.5447
authorisation,4.682368341380715,14.460488103760785,Topic1,-5.3497,1.5286,1.5286
read_conjunction,13.93890587112196,44.99425829124373,Topic1,-4.2588,1.4844,1.4844
food_safety,6.136833082381504,20.197669309223002,Topic1,-5.0792,1.4649,1.4649
satisfied,5.441911851747584,18.034567836873556,Topic1,-5.1994,1.458,1.458
conformity,7.468654916215363,26.237760240820393,Topic1,-4.8828,1.3997,1.3997
conjunction,13.894373640502726,50.41941008877817,Topic1,-4.262,1.3673,1.3673
substance,7.468653079872582,27.348933267830073,Topic1,-4.8828,1.3582,1.3582
method,5.4110521113069225,21.542151751335254,Topic1,-5.2051,1.2746,1.2746
safety,6.098705097212241,24.72436342589002,Topic1,-5.0855,1.2565,1.2565
adopt,6.543886005010434,28.66776073316252,Topic1,-5.015,1.179,1.179
give,4.682334828124955,20.72682172109778,Topic1,-5.3497,1.1686,1.1686
laying,7.156778262686947,32.59398186526608,Topic1,-4.9255,1.1401,1.1401
required,10.254937818364448,51.78010335119947,Topic1,-4.5658,1.037,1.037
determine,7.6563475118976,39.30996206500733,Topic1,-4.858,1.0203,1.0203
providing,4.682368341380715,27.745120841907777,Topic1,-5.3497,0.8769,0.8769
provides,5.611102375736284,36.43647734994098,Topic1,-5.1688,0.7854,0.7854
ass,5.441910474490498,39.26808785746048,Topic1,-5.1994,0.6799,0.6799
