Term,Freq,Total,Category,logprob,loglift,relevance
grand_duchy,11.906839396886411,12.76707897096912,Topic5,-4.2191,2.7837,2.7837
duchy,11.906839396886411,12.767079026252315,Topic5,-4.2191,2.7837,2.7837
luxembourg,11.906839396886411,13.630597623601703,Topic5,-4.2191,2.7183,2.7183
urgency,1.8669892989239416,2.7084364062313138,Topic5,-6.0719,2.4815,2.4815
removing,3.6958531584958147,5.418247688802106,Topic5,-5.389,2.4709,2.4709
ley,4.609509173649677,7.264669385935565,Topic5,-5.1681,2.3986,2.3986
grand,11.797817502231732,18.960627988939752,Topic5,-4.2283,2.379,2.379
null,2.781621072660653,4.488420464774128,Topic5,-5.6732,2.375,2.375
social,3.695395995436334,6.372771001854967,Topic5,-5.3892,2.3085,2.3085
release,1.8669896758102231,3.5652051572005248,Topic5,-6.0719,2.2066,2.2066
re,1.8667565716451042,3.574131511077931,Topic5,-6.072,2.204,2.204
judicata,1.8666195734817725,3.5741328077852224,Topic5,-6.0721,2.2039,2.2039
restoration,1.8669896758102231,3.576286350154474,Topic5,-6.0719,2.2035,2.2035
ensured,1.866988168265097,3.581821774374942,Topic5,-6.0719,2.202,2.202
similarity,1.8669896758102231,3.6027832184729203,Topic5,-6.0719,2.1961,2.1961
recital,1.866988168265097,3.60537232375462,Topic5,-6.0719,2.1954,2.1954
decreto,1.8666538701333906,3.6053772989961583,Topic5,-6.0721,2.1952,2.1952
para,1.866651985701983,3.6053772866459006,Topic5,-6.0721,2.1952,2.1952
los,1.8666261689916992,3.605377340867271,Topic5,-6.0721,2.1952,2.1952
bread,1.8668656802236037,3.6240645606911204,Topic5,-6.072,2.1902,2.1902
environment,3.6918423346879017,7.3235015259129845,Topic5,-5.3901,2.1685,2.1685
pdo,3.696014088938023,8.196365171054781,Topic5,-5.389,2.0571,2.0571
platform,1.8671604052957507,4.374055088144802,Topic5,-6.0718,2.0022,2.0022
fraud,1.8669898642533638,4.422079634064259,Topic5,-6.0719,1.9912,1.9912
accelerated,1.866607513120764,4.433059514668754,Topic5,-6.0721,1.9885,1.9885
involved,1.8669896758102231,4.464174935106367,Topic5,-6.0719,1.9817,1.9817
firm,1.8669877913788155,4.533913822232853,Topic5,-6.0719,1.9662,1.9662
involving,2.7815040494702417,7.218469112782282,Topic5,-5.6732,1.8998,1.8998
organism,2.7815044263565234,7.239398975082802,Topic5,-5.6732,1.897,1.897
become,3.695671499308123,9.782132856610627,Topic5,-5.3891,1.8801,1.8801
potential,3.695204160319041,9.912941355894361,Topic5,-5.3892,1.8667,1.8667
compliance,6.934031445940128,18.98006301939774,Topic5,-4.7598,1.8465,1.8465
decree,2.780970001609331,8.086370317076064,Topic5,-5.6734,1.7861,1.7861
conditional,2.781291862493747,8.146149626235347,Topic5,-5.6733,1.7789,1.7789
upon,2.748865509047652,8.063627804936516,Topic5,-5.6851,1.7773,1.7773
necessary_comply,4.221445198794529,15.01758592946335,Topic5,-5.2561,1.5845,1.5845
conclusion,8.268205113650643,31.534297904216245,Topic5,-4.5838,1.5148,1.5148
calculation,3.695728032250351,14.164947871018734,Topic5,-5.3891,1.5099,1.5099
procedure,8.946481324317885,40.620757268664114,Topic5,-4.505,1.3405,1.3405
objective,3.696014088938023,17.053281512841036,Topic5,-5.389,1.3244,1.3244
comply,5.955593955401283,32.07863005577462,Topic5,-4.9119,1.1696,1.1696
access,5.511460985331,29.698001524676865,Topic5,-4.9894,1.1692,1.1692
food_safety,3.696014088938023,20.197669309223002,Topic5,-5.389,1.1552,1.1552
adopt,5.051825928729325,28.66776073316252,Topic5,-5.0765,1.1175,1.1175
common,4.475321451319203,27.002997028619514,Topic5,-5.1977,1.0561,1.0561
dispute,4.610346614967209,28.259492254459587,Topic5,-5.1679,1.0404,1.0404
prescribed,3.9305432610872573,24.90296806716707,Topic5,-5.3275,1.0073,1.0073
finding,4.619088869153298,29.374388980488494,Topic5,-5.166,1.0036,1.0036
safety,3.696014088938023,24.72436342589002,Topic5,-5.389,0.953,0.953
regulatory,4.341972677851388,29.72289241131799,Topic5,-5.2279,0.9299,0.9299
requires,3.696040847864011,25.788274643198964,Topic5,-5.389,0.9108,0.9108
laying,4.6101657095520805,32.59398186526608,Topic5,-5.168,0.8976,0.8976
taken,4.610362444191034,33.41950463739543,Topic5,-5.1679,0.8727,0.8727
mean,5.524654266501815,43.01724159568877,Topic5,-4.987,0.8011,0.8011
read_conjunction,5.3566553220838085,44.99425829124373,Topic5,-5.0179,0.7253,0.7253
reasonably,3.696427533188848,35.56603748447477,Topic5,-5.3889,0.5895,0.5895
conjunction,5.220923119771674,50.41941008877817,Topic5,-5.0436,0.5858,0.5858
nature,4.610176639254245,44.61067179798863,Topic5,-5.168,0.5838,0.5838
january,3.7122544956949106,39.6237449127643,Topic5,-5.3846,0.4857,0.4857
