Term,Freq,Total,Category,logprob,loglift,relevance
defeat,7.440097601943062,8.281098740220013,Topic2,-4.838,2.5978,2.5978
defeat_device,7.440097601943062,8.281098740220013,Topic2,-4.838,2.5978,2.5978
emission,4.664467991149336,5.5054691294262845,Topic2,-5.3049,2.5391,2.5391
device,15.766973753365797,19.194070189613402,Topic2,-4.0869,2.5082,2.5082
accident,3.7392565175451873,4.580257655822136,Topic2,-5.526,2.502,2.502
driving,3.7392565175451873,4.580257655822136,Topic2,-5.526,2.502,2.502
engine,3.7392565175451873,4.580257655822136,Topic2,-5.526,2.502,2.502
normal,2.8140430762061075,3.6550442144830564,Topic2,-5.8102,2.4434,2.4434
temperature,2.8140430762061075,3.6550442144830564,Topic2,-5.8102,2.4434,2.4434
repair,2.814042857568893,3.655043995845842,Topic2,-5.8102,2.4434,2.4434
local,2.814040889833962,3.655042028110911,Topic2,-5.8102,2.4434,2.4434
united,5.588745883847308,7.287429261363642,Topic2,-5.1241,2.4395,2.4395
united_kingdom,5.588745009298449,7.2874282582847565,Topic2,-5.1241,2.4395,2.4395
notification,6.5148861283389135,9.213256445398939,Topic2,-4.9708,2.3583,2.3583
exhaust,1.8888232943878052,2.7298244326647545,Topic2,-6.2089,2.3366,2.3366
recirculation,1.8888232943878052,2.7298244326647545,Topic2,-6.2089,2.3366,2.3366
strictly,1.8888232943878052,2.7298244326647545,Topic2,-6.2089,2.3366,2.3366
hazard,1.8888230757505906,2.72982421402754,Topic2,-6.2089,2.3366,2.3366
immediate,1.8888230757505906,2.72982421402754,Topic2,-6.2089,2.3366,2.3366
malfunction,1.8888230757505906,2.72982421402754,Topic2,-6.2089,2.3366,2.3366
minor,1.8888222012017324,2.7298233394786817,Topic2,-6.2089,2.3366,2.3366
introducing,1.8888176098202265,2.7298187480971756,Topic2,-6.2089,2.3366,2.3366
driven,1.8888232943878052,2.7298244326647545,Topic2,-6.2089,2.3366,2.3366
vehicle,13.916556053450648,20.2104719384639,Topic2,-4.2118,2.3318,2.3318
custom,3.739256080270758,5.462607610387486,Topic2,-5.526,2.3258,2.3258
incumbent,2.8135607625107846,4.488526381513076,Topic2,-5.8104,2.2378,2.2378
northern,2.8140422016572493,4.511810825717257,Topic2,-5.8102,2.2328,2.2328
victim,2.814042420294464,4.511810649554529,Topic2,-5.8102,2.2328,2.2328
fitted,2.8140430762061075,4.517943567230239,Topic2,-5.8102,2.2314,2.2314
warning,2.8140411084711765,4.528427575956479,Topic2,-5.8102,2.2291,2.2291
packet,2.8140411084711765,4.528427692915891,Topic2,-5.8102,2.2291,2.2291
gift,2.8140400152851033,4.537391863007369,Topic2,-5.8102,2.2271,2.2271
motor,2.8140430762061075,4.569640322266813,Topic2,-5.8102,2.2201,2.2201
milk,4.664466679326049,9.010766323920645,Topic2,-5.3049,2.0464,2.0464
exception,5.588326537669778,10.898805131909292,Topic2,-5.1242,2.0369,2.0369
euro,3.7392565175451873,7.343165230825146,Topic2,-5.526,2.03,2.03
control,4.664467116600478,9.967543786087148,Topic2,-5.3049,1.9455,1.9455
new,4.66446624205162,10.792046071559984,Topic2,-5.3049,1.866,1.866
benefit,3.739255642996329,10.888374272222393,Topic2,-5.526,1.6361,1.6361
defect,3.7392565175451873,10.967691394261237,Topic2,-5.526,1.6288,1.6288
prohibition,7.439097992598088,22.47577161038081,Topic2,-4.8381,1.5992,1.5992
latter,6.514885253790055,21.68935779025349,Topic2,-4.9708,1.5021,1.5021
description,5.589676403832481,19.088187576904993,Topic2,-5.1239,1.4767,1.4767
could,5.589670719264903,21.53987100164852,Topic2,-5.1239,1.3559,1.3559
conclusion,7.600835309344379,31.534297904216245,Topic2,-4.8166,1.2821,1.2821
reference,8.36530470280292,37.643753310168,Topic2,-4.7208,1.2008,1.2008
system,5.589677715655768,28.732625938036943,Topic2,-5.1239,1.0678,1.0678
establishing,5.589676403832481,32.58776274047458,Topic2,-5.1239,0.9419,0.9419
guarantee,4.664467553874907,29.79411957361993,Topic2,-5.3049,0.8505,0.8505
ensure,4.664459682935183,32.153183464356495,Topic2,-5.3049,0.7743,0.7743
annex,5.58967684110691,41.016415520793736,Topic2,-5.1239,0.7118,0.7118
established,3.7392565175451873,39.04229150020939,Topic2,-5.526,0.3591,0.3591
used,3.739457663782584,47.72050893677138,Topic2,-5.5259,0.1585,0.1585
